Industry Title,SIC Code,Company Name,cityba,zipba,Industry_Encoded,City_Encoded,Cluster
"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",3823.0,MKS INSTRUMENTS INC,ANDOVER,1810,119,44,2
"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6211.0,Freedom Holding Corp.,SALT LAKE CITY,84101,272,1183,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,Zeta Global Holdings Corp.,NEW YORK,10016,319,956,3
HOTELS & MOTELS,7011.0,CHOICE HOTELS INTERNATIONAL INC /DE,ROCKVILLE,20850,110,1146,4
MISCELLANEOUS CHEMICAL PRODUCTS,2890.0,Element Solutions Inc,FORT LAUDERDALE,33394,155,478,2
"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",7381.0,ADT Inc.,BOCA RATON,33431,289,146,1
INVESTMENT ADVICE,6282.0,JANUS HENDERSON GROUP PLC,LONDON,EC2M 3AE,126,768,0
SURETY INSURANCE,6351.0,MGIC INVESTMENT CORP,MILWAUKEE,53202,339,870,3
OPERATIVE BUILDERS,1531.0,Meritage Homes CORP,SCOTTSDALE,85260,187,1224,0
"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",3842.0,MSA Safety Inc,CRANBERRY TOWNSHIP,16066,193,331,1
TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813.0,"Lumen Technologies, Inc.",MONROE,71203,344,889,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,CCC Intelligent Solutions Holdings Inc.,CHICAGO,60607,319,272,1
SERVICES-PREPACKAGED SOFTWARE,7372.0,"Vertex, Inc.",KING OF PRUSSIA,19406,319,696,3
"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",2844.0,COTY INC.,NEW YORK,10118,200,956,0
"STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS",3310.0,GERDAU S.A.,"SAO PAULO, SP",05425-070,336,1213,3
REAL ESTATE INVESTMENT TRUSTS,6798.0,"Ryman Hospitality Properties, Inc.",NASHVILLE,37214,232,932,0
SERVICES-PREPACKAGED SOFTWARE,7372.0,"Clearwater Analytics Holdings, Inc.",BOISE,83702,319,151,1
CRUDE PETROLEUM & NATURAL GAS,1311.0,Matador Resources Co,DALLAS,75240,56,341,2
STATE COMMERCIAL BANKS,6022.0,"POPULAR, INC.",HATO REY,918,334,585,1
MISCELLANEOUS FABRICATED METAL PRODUCTS,3490.0,WATTS WATER TECHNOLOGIES INC,NORTH ANDOVER,1845,157,970,0
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,"HALOZYME THERAPEUTICS, INC.",SAN DIEGO,92130,22,1187,4
WHOLESALE-PROFESSIONAL & COMMERCIAL EQUIPMENT & SUPPLIES,5040.0,"SiteOne Landscape Supply, Inc.",ROSWELL,30076,390,1160,3
GRAIN MILL PRODUCTS,2040.0,"Post Holdings, Inc.",ST. LOUIS,63144,103,1298,4
SURETY INSURANCE,6351.0,Essent Group Ltd.,HAMILTON,HM 11,339,568,1
GRAIN MILL PRODUCTS,2040.0,"Freshpet, Inc.",SECAUCUS,7094,103,1228,4
"PLASTICS PRODUCTS, NEC",3089.0,AZEK Co Inc.,CHICAGO,60607,211,272,1
"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",5065.0,"ARROW ELECTRONICS, INC.",CENTENNIAL,80112,369,237,1
HOTELS & MOTELS,7011.0,BOYD GAMING CORP,LAS VEGAS,89118,110,729,2
SERVICES-PREPACKAGED SOFTWARE,7372.0,Global-E Online Ltd.,PETAH,4951038,319,1064,3
FABRICATED STRUCTURAL METAL PRODUCTS,3440.0,VALMONT INDUSTRIES INC,OMAHA,68154,82,1016,4
SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING,7350.0,WillScot Holdings Corp,PHOENIX,85008,311,1067,3
SEMICONDUCTORS & RELATED DEVICES,3674.0,"AMKOR TECHNOLOGY, INC.",TEMPE,85284,273,1344,3
PHARMACEUTICAL PREPARATIONS,2834.0,"Nuvalent, Inc.",CAMBRIDGE,2142,204,208,1
REFUSE SYSTEMS,4953.0,CASELLA WASTE SYSTEMS INC,RUTLAND,5701,235,1168,0
FATS & OILS,2070.0,DARLING INGREDIENTS INC.,IRVING,75038,84,654,2
"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",3312.0,COMMERCIAL METALS Co,IRVING,75039,337,654,3
RUBBER & PLASTICS FOOTWEAR,3021.0,"Crocs, Inc.",BROOMFIELD,80020,264,183,1
RETAIL-WOMEN'S CLOTHING STORES,5621.0,"Bath & Body Works, Inc.",COLUMBUS,43230,262,304,1
SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374.0,"QXO, Inc.",EAST HANOVER,7936,284,406,1
TRUCKING (NO LOCAL),4213.0,LANDSTAR SYSTEM INC,JACKSONVILLE,32224,355,662,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,SPS COMMERCE INC,MINNEAPOLIS,55402,319,875,3
PHARMACEUTICAL PREPARATIONS,2834.0,Elanco Animal Health Inc,GREENFIELD,46140,204,549,1
SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,7990.0,VAIL RESORTS INC,BROOMFIELD,80021,309,183,1
SERVICES-AUTO RENTAL & LEASING (NO DRIVERS),7510.0,RYDER SYSTEM INC,MIAMI,33178,278,852,3
SEMICONDUCTORS & RELATED DEVICES,3674.0,Credo Technology Group Holding Ltd,GRAND CAYMAN,KY1-1104,273,535,1
REAL ESTATE INVESTMENT TRUSTS,6798.0,Healthcare Realty Trust Inc,NASHVILLE,37203,232,932,0
AIRCRAFT,3721.0,EMBRAER S.A.,SAO JOSE DOS CAMPOS,12227901,11,1211,4
RETAIL-AUTO DEALERS & GASOLINE STATIONS,5500.0,"AUTONATION, INC.",FORT LAUDERDALE,33301,238,478,1
NATIONAL COMMERCIAL BANKS,6021.0,OLD NATIONAL BANCORP /IN/,EVANSVILLE,47708,174,447,1
"AIR TRANSPORTATION, SCHEDULED",4512.0,"ALASKA AIR GROUP, INC.",SEATTLE,98188,9,1227,4
GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,3560.0,Zurn Elkay Water Solutions Corp,MILWAUKEE,53204,98,870,4
"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",3690.0,NOVANTA INC,BEDFORD,1730,156,101,2
MOTOR VEHICLE PARTS & ACCESSORIES,3714.0,MODINE MANUFACTURING CO,RACINE,53403,170,1107,0
GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,1520.0,"Installed Building Products, Inc.",COLUMBUS,43215,97,304,2
SWITCHGEAR & SWITCHBOARD APPARATUS,3613.0,LITTELFUSE INC /DE,CHICAGO,60631,341,272,1
"PLASTICS PRODUCTS, NEC",3089.0,ARMSTRONG WORLD INDUSTRIES INC,LANCASTER,17603,211,723,0
PHARMACEUTICAL PREPARATIONS,2834.0,IONIS PHARMACEUTICALS INC,CARLSBAD,92010,204,219,1
AIRCRAFT,3721.0,AeroVironment Inc,ARLINGTON,22202,11,53,2
RETAIL-DEPARTMENT STORES,5311.0,"DILLARD'S, INC.",LITTLE ROCK,72201,243,760,0
METAL MINING,1000.0,CLEVELAND-CLIFFS INC.,CLEVELAND,44114-2315,147,290,2
MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,3590.0,MOOG INC.,EAST AURORA,14052,153,404,2
SERVICES-PREPACKAGED SOFTWARE,7372.0,"BILL Holdings, Inc.",SAN JOSE,95002,319,1191,3
STATE COMMERCIAL BANKS,6022.0,"COLUMBIA BANKING SYSTEM, INC.",TACOMA,98402,334,1332,3
OIL & GAS FIELD MACHINERY & EQUIPMENT,3533.0,NOV Inc.,HOUSTON,77042,184,635,0
SERVICES-MANAGEMENT SERVICES,8741.0,R1 RCM Inc. /DE,MURRAY,84123,305,920,3
LIFE INSURANCE,6311.0,LINCOLN NATIONAL CORP,RADNOR,19087,135,1108,0
"SERVICES-BUSINESS SERVICES, NEC",7389.0,ETSY INC,BROOKLYN,11201,280,179,1
PHARMACEUTICAL PREPARATIONS,2834.0,CYTOKINETICS INC,SOUTH SAN FRANCISCO,94080,204,1276,0
PERSONAL CREDIT INSTITUTIONS,6141.0,"OneMain Holdings, Inc.",EVANSVILLE,47708,202,447,1
MISCELLANEOUS CHEMICAL PRODUCTS,2890.0,CABOT CORP,BOSTON,2210,155,154,2
SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING,7350.0,HERC HOLDINGS INC,BONITA SPRINGS,34134,311,153,1
"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",2844.0,"e.l.f. Beauty, Inc.",OAKLAND,94607,200,1001,0
STATE COMMERCIAL BANKS,6022.0,"GLACIER BANCORP, INC.",KALISPELL,59901,334,680,3
REAL ESTATE,6500.0,Terreno Realty Corp,SAN FRANCISCO,94104,230,1189,0
TOTALIZING FLUID METERS & COUNTING DEVICES,3824.0,BADGER METER INC,MILWAUKEE,53223,350,870,3
ADHESIVES & SEALANTS,2891.0,"CSW INDUSTRIALS, INC.",DALLAS,75240,2,341,2
RETAIL-FURNITURE STORES,5712.0,RH,CORTE MADERA,94925,249,323,1
MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),1400.0,MDU RESOURCES GROUP INC,BISMARCK,58503,152,137,2
MOTOR VEHICLE PARTS & ACCESSORIES,3714.0,ICAHN ENTERPRISES L.P.,SUNNY ISLES BEACH,33160,170,1322,0
BALL & ROLLER BEARINGS,3562.0,TIMKEN CO,NORTH CANTON,44720-5450,20,974,4
SEMICONDUCTORS & RELATED DEVICES,3674.0,"CIRRUS LOGIC, INC.",AUSTIN,78701,273,68,1
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,"Inspire Medical Systems, Inc.",GOLDEN VALLEY,55416,340,530,1
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,MERIT MEDICAL SYSTEMS INC,SOUTH JORDAN,84095,340,1271,3
INVESTMENT ADVICE,6282.0,"AFFILIATED MANAGERS GROUP, INC.",WEST PALM BEACH,33401,126,1477,4
MOTOR VEHICLES & PASSENGER CAR BODIES,3711.0,"Lucid Group, Inc.",NEWARK,94560,171,958,0
"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS",3812.0,Nextracker Inc.,FREMONT,94555,269,495,1
REAL ESTATE INVESTMENT TRUSTS,6798.0,KITE REALTY GROUP TRUST,INDIANAPOLIS,46204,232,649,1
OPERATIVE BUILDERS,1531.0,KB HOME,LOS ANGELES,90024,187,779,0
RETAIL-CATALOG & MAIL-ORDER HOUSES,5961.0,INSIGHT ENTERPRISES INC,CHANDLER,85286,240,245,1
TELEVISION BROADCASTING STATIONS,4833.0,"NEXSTAR MEDIA GROUP, INC.",IRVING,75062,345,654,3
"PLASTICS, FOIL & COATED PAPER BAGS",2673.0,Reynolds Consumer Products Inc.,LAKE FOREST,60045,212,716,0
FINANCE SERVICES,6199.0,Mr. Cooper Group Inc.,COPPELL,75019,86,312,2
TOTALIZING FLUID METERS & COUNTING DEVICES,3824.0,Vontier Corp,RALEIGH,27607,350,1109,3
HAZARDOUS WASTE MANAGEMENT,4955.0,STERICYCLE INC,BANNOCKBURN,60015,105,81,2
OIL & GAS FIELD MACHINERY & EQUIPMENT,3533.0,Weatherford International plc,HOUSTON,77056,184,635,0
HOUSEHOLD APPLIANCES,3630.0,WHIRLPOOL CORP /DE/,BENTON HARBOR,49022-2692,112,117,2
WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS,5030.0,BEACON ROOFING SUPPLY INC,HERNDON,20170,377,600,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,VARONIS SYSTEMS INC,NEW YORK,10001,319,956,3
REAL ESTATE INVESTMENT TRUSTS,6798.0,"CareTrust REIT, Inc.",SAN CLEMENTE,92673,232,1186,0
RETAIL-VARIETY STORES,5331.0,"Ollie's Bargain Outlet Holdings, Inc.",HARRISBURG,17112,261,581,1
ELECTRIC SERVICES,4911.0,"Clearway Energy, Inc.",PRINCETON,8540,68,1095,4
REAL ESTATE INVESTMENT TRUSTS,6798.0,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",PRINCETON,8540,232,1095,0
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,SELECTIVE INSURANCE GROUP INC,BRANCHVILLE,7890,87,162,2
PHARMACEUTICAL PREPARATIONS,2834.0,"MADRIGAL PHARMACEUTICALS, INC.",WEST CONSHOHOCKEN,19428,204,1468,0
METAL CANS,3411.0,SILGAN HOLDINGS INC,STAMFORD,6901,144,1303,0
PHARMACEUTICAL PREPARATIONS,2834.0,Blueprint Medicines Corp,CAMBRIDGE,2139,204,208,1
NATURAL GAS DISTRIBUTION,4924.0,NATIONAL FUEL GAS CO,WILLIAMSVILLE,14221-5887,175,1508,0
ELECTRIC SERVICES,4911.0,IDACORP INC,BOISE,83702-5627,68,151,2
NATURAL GAS TRANSMISISON & DISTRIBUTION,4923.0,Brookfield Infrastructure Corp,NEW YORK,10281,176,956,0
REAL ESTATE INVESTMENT TRUSTS,6798.0,Rithm Capital Corp.,NEW YORK,10003,232,956,0
ELECTRIC SERVICES,4911.0,Brookfield Renewable Corp,NEW YORK,10281-1023,68,956,4
COMMODITY CONTRACTS BROKERS & DEALERS,6221.0,Sprott Physical Silver Trust,TORONTO,M5J 2J1,43,1369,4
MOTOR HOMES,3716.0,THOR INDUSTRIES INC,ELKHART,46514,169,429,2
REAL ESTATE INVESTMENT TRUSTS,6798.0,National Storage Affiliates Trust,GREENWOOD VILLAGE,80111,232,553,1
STATE COMMERCIAL BANKS,6022.0,HOME BANCSHARES INC,CONWAY,72032,334,310,1
CHEMICALS & ALLIED PRODUCTS,2800.0,BALCHEM CORP,MONTVALE,7645,37,897,4
"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",2320.0,PVH CORP. /DE/,NEW YORK,10017,143,956,0
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,"HANOVER INSURANCE GROUP, INC.",WORCESTER,1653,87,1534,4
INVESTMENT ADVICE,6282.0,PJT Partners Inc.,NEW YORK,10017,126,956,0
NATIONAL COMMERCIAL BANKS,6021.0,UMB FINANCIAL CORP,KANSAS CITY,64106,174,682,0
RADIOTELEPHONE COMMUNICATIONS,4812.0,UNITED STATES CELLULAR CORP,CHICAGO,60631,226,272,1
"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP",3530.0,ChampionX Corp,THE WOODLANDS,77381,53,1351,4
"INSURANCE AGENTS, BROKERS & SERVICE",6411.0,"Enact Holdings, Inc.",RALEIGH,27615,124,1109,4
AGRICULTURAL CHEMICALS,2870.0,ICL Group Ltd.,TEL AVIV,61202,3,1341,4
SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373.0,"Kyndryl Holdings, Inc.",NEW YORK,10017,283,956,3
SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,7990.0,Madison Square Garden Sports Corp.,NEW YORK,10121,309,956,3
OPTICAL INSTRUMENTS & LENSES,3827.0,NOVA LTD.,REHOVOT,7610201,191,1119,0
"ELECTRONIC COMPONENTS, NEC",3679.0,IMPINJ INC,SEATTLE,98109,76,1227,4
SURETY INSURANCE,6351.0,RADIAN GROUP INC,WAYNE,19087,339,1459,3
"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",2820.0,SEALED AIR CORP/DE,CHARLOTTE,28208,208,254,1
"SERVICES-BUSINESS SERVICES, NEC",7389.0,"Lyft, Inc.",SAN FRANCISCO,94107,280,1189,3
NATURAL GAS TRANSMISISON & DISTRIBUTION,4923.0,"Southwest Gas Holdings, Inc.",LAS VEGAS,89113,176,729,0
"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",7320.0,"Dun & Bradstreet Holdings, Inc.",JACKSONVILLE,32256,288,662,1
TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813.0,PLDT Inc.,MAKATI METRO MANILA,721,344,799,3
HOTELS & MOTELS,7011.0,"Red Rock Resorts, Inc.",LAS VEGAS,89135,110,729,2
ENGINES & TURBINES,3510.0,BRUNSWICK CORP,METTAWA,60045-3420,79,849,4
NATIONAL COMMERCIAL BANKS,6021.0,FNB CORP/PA/,PITTSBURGH,15212,174,1071,0
GUIDED MISSILES & SPACE VEHICLES & PARTS,3760.0,"Rocket Lab USA, Inc.",LONG BEACH,90808,104,773,2
"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",3823.0,Sensata Technologies Holding plc,SWINDON,SN4 8SY,119,1328,4
RETAIL-CATALOG & MAIL-ORDER HOUSES,5961.0,Wayfair Inc.,BOSTON,2116,240,154,1
"SERVICES-BUSINESS SERVICES, NEC",7389.0,"MAXIMUS, INC.",MCLEAN,22102,280,832,3
RETAIL-VARIETY STORES,5331.0,"FIVE BELOW, INC",PHILADELPHIA,19106,261,1066,3
COMMODITY CONTRACTS BROKERS & DEALERS,6221.0,Sprott Physical Gold & Silver Trust,TORONTO,M5J 2J1,43,1369,4
MOTOR VEHICLE PARTS & ACCESSORIES,3714.0,LEAR CORP,SOUTHFIELD,48033,170,1279,0
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,Stevanato Group S.p.A.,PADUA,35017,340,1038,3
STATE COMMERCIAL BANKS,6022.0,FIRST FINANCIAL BANKSHARES INC,ABILENE,79601,334,11,1
MISCELLANEOUS PRODUCTS OF PETROLEUM & COAL,2990.0,VALVOLINE INC,LEXINGTON,40509,164,746,0
FABRICATED PLATE WORK (BOILER SHOPS),3443.0,CHART INDUSTRIES INC,BALL GROUND,30107,80,76,2
PAPERBOARD CONTAINERS & BOXES,2650.0,SONOCO PRODUCTS CO,HARTSVILLE,29551-0160,196,583,1
WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS,5030.0,BOISE CASCADE Co,BOISE,83702,377,151,1
"INSURANCE AGENTS, BROKERS & SERVICE",6411.0,CORVEL CORP,IRVINE,92614,124,653,2
RETAIL-EATING & DRINKING PLACES,5810.0,Shake Shack Inc.,NEW YORK,10014,245,956,0
WATER TRANSPORTATION,4400.0,"Matson, Inc.",HONOLULU,96819,359,630,3
REAL ESTATE INVESTMENT TRUSTS,6798.0,"Phillips Edison & Company, Inc.",CINCINNATI,45249,232,279,1
GAS & OTHER SERVICES COMBINED,4932.0,UGI CORP /PA/,KING OF PRUSSIA,19406,94,696,2
SERVICES-PREPACKAGED SOFTWARE,7372.0,"ACI WORLDWIDE, INC.",CORAL GABLES,33134,319,314,1
SEMICONDUCTORS & RELATED DEVICES,3674.0,RAMBUS INC,SAN JOSE,95134,273,1191,3
PERSONAL CREDIT INSTITUTIONS,6141.0,CREDIT ACCEPTANCE CORP,SOUTHFIELD,48034-8334,202,1279,0
DRILLING OIL & GAS WELLS,1381.0,Noble Corp plc,SUGAR LAND,77478,64,1318,4
SERVICES-PREPACKAGED SOFTWARE,7372.0,"Clear Secure, Inc.",NEW YORK,10011,319,956,3
STATE COMMERCIAL BANKS,6022.0,UNITED BANKSHARES INC/WV,CHARLESTON,25301,334,252,1
MORTGAGE BANKERS & LOAN CORRESPONDENTS,6162.0,"PennyMac Financial Services, Inc.",WESTLAKE VILLAGE,91361,168,1494,0
PHARMACEUTICAL PREPARATIONS,2834.0,CORCEPT THERAPEUTICS INC,MENLO PARK,94025,204,842,0
SERVICES-PREPACKAGED SOFTWARE,7372.0,"Q2 Holdings, Inc.",AUSTIN,78729,319,68,1
RETAIL-EATING & DRINKING PLACES,5810.0,Dutch Bros Inc.,GRANTS PASS,97526,245,540,1
LIFE INSURANCE,6311.0,"F&G Annuities & Life, Inc.",DES MOINES,50309,135,366,2
CRUDE PETROLEUM & NATURAL GAS,1311.0,CNX Resources Corp,CANONSBURG,15317,56,214,2
MOBILE HOMES,2451.0,"Champion Homes, Inc.",TROY,48084,167,1377,0
PHARMACEUTICAL PREPARATIONS,2834.0,Biohaven Ltd.,NEW HAVEN,6510,204,948,0
INDUSTRIAL ORGANIC CHEMICALS,2860.0,NEWMARKET CORP,RICHMOND,23218-2189,120,1128,4
GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,3560.0,Gates Industrial Corp plc,DENVER,80202,98,363,2
CRUDE PETROLEUM & NATURAL GAS,1311.0,Magnolia Oil & Gas Corp,HOUSTON,77046,56,635,2
"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION",1623.0,DYCOM INDUSTRIES INC,PALM BEACH GARDENS,33408,360,1041,3
INVESTMENT ADVICE,6282.0,"COHEN & STEERS, INC.",NEW YORK,10017,126,956,0
PHARMACEUTICAL PREPARATIONS,2834.0,"Crinetics Pharmaceuticals, Inc.",SAN DIEGO,92121,204,1187,0
INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,3825.0,"ITRON, INC.",LIBERTY LAKE,99019,123,748,2
REAL ESTATE INVESTMENT TRUSTS,6798.0,SL GREEN REALTY CORP,NEW YORK,10017,232,956,0
PHARMACEUTICAL PREPARATIONS,2834.0,"Avidity Biosciences, Inc.",SAN DIEGO,92121,204,1187,0
ELECTRIC SERVICES,4911.0,PORTLAND GENERAL ELECTRIC CO /OR/,PORTLAND,97204,68,1089,4
"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",7359.0,AIR LEASE CORP,LOS ANGELES,90067,295,779,3
MOTOR VEHICLES & PASSENGER CAR BODIES,3711.0,FEDERAL SIGNAL CORP /DE/,OAK BROOK,60523,171,999,0
TRUCKING (NO LOCAL),4213.0,"Schneider National, Inc.",GREEN BAY,54313,355,546,1
AGRICULTURAL CHEMICALS,2870.0,SCOTTS MIRACLE-GRO CO,MARYSVILLE,43041,3,821,4
TRANSPORTATION SERVICES,4700.0,GATX CORP,CHICAGO,60606-7147,351,272,1
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,"Krystal Biotech, Inc.",PITTSBURGH,15203,22,1071,4
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,Enstar Group LTD,HAMILTON,HM JX,87,568,2
RETAIL-AUTO DEALERS & GASOLINE STATIONS,5500.0,GROUP 1 AUTOMOTIVE INC,HOUSTON,77024,238,635,1
SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374.0,"MARA Holdings, Inc.",LAS VEGAS,89144,284,729,3
NATIONAL COMMERCIAL BANKS,6021.0,VALLEY NATIONAL BANCORP,NEW YORK,10119,174,956,0
"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",2320.0,"Kontoor Brands, Inc.",GREENSBORO,27401,143,550,2
REAL ESTATE INVESTMENT TRUSTS,6798.0,KILROY REALTY CORP,LOS ANGELES,90064,232,779,0
SERVICES-MEDICAL LABORATORIES,8071.0,"RadNet, Inc.",LOS ANGELES,90025,306,779,3
SERVICES-MANAGEMENT CONSULTING SERVICES,8742.0,EXPONENT INC,MENLO PARK,94025,304,842,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,"Tenable Holdings, Inc.",COLUMBIA,21044,319,303,1
CRUDE PETROLEUM & NATURAL GAS,1311.0,SM Energy Co,DENVER,80203,56,363,2
ELECTRIC SERVICES,4911.0,"ORMAT TECHNOLOGIES, INC.",RENO,89519-6075,68,1120,4
PHARMACEUTICAL PREPARATIONS,2834.0,Organon & Co.,JERSEY CITY,7302,204,669,0
SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374.0,CLARIVATE PLC,PHILADELPHIA,19130,284,1066,3
CHEMICALS & ALLIED PRODUCTS,2800.0,OLIN Corp,CLAYTON,63105,37,287,2
"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",2821.0,HEXCEL CORP /DE/,STAMFORD,6901,209,1303,0
CRUDE PETROLEUM & NATURAL GAS,1311.0,"CIVITAS RESOURCES, INC.",DENVER,80202,56,363,2
"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",2030.0,LANCASTER COLONY CORP,WESTERVILLE,43082,33,1490,4
INVESTMENT ADVICE,6282.0,"Lazard, Inc.",HAMILTON,HM II,126,568,2
"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",5065.0,AVNET INC,PHOENIX,85034,369,1067,3
"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6211.0,"Virtu Financial, Inc.",NEW YORK,10019,272,956,3
"SERVICES-BUSINESS SERVICES, NEC",7389.0,Nuvei Corp,MONTREAL,H3B 4N4,280,895,3
REAL ESTATE INVESTMENT TRUSTS,6798.0,RAYONIER INC,WILDLIGHT,32097,232,1506,0
CRUDE PETROLEUM & NATURAL GAS,1311.0,MURPHY OIL CORP,HOUSTON,77024,56,635,2
RADIOTELEPHONE COMMUNICATIONS,4812.0,MILLICOM INTERNATIONAL CELLULAR SA,BOURBON,L-1249,226,158,1
PERSONAL CREDIT INSTITUTIONS,6141.0,SLM Corp,NEWARK,19713,202,958,0
INVESTMENT ADVICE,6282.0,Moelis & Co,NEW YORK,10022,126,956,0
DENTAL EQUIPMENT & SUPPLIES,3843.0,DENTSPLY SIRONA Inc.,CHARLOTTE,28277-3607,61,254,2
DRAWING & INSULATING OF NONFERROUS WIRE,3357.0,BELDEN INC.,ST. LOUIS,63105,63,1298,4
APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,2300.0,COLUMBIA SPORTSWEAR CO,PORTLAND,97229,16,1089,4
REAL ESTATE INVESTMENT TRUSTS,6798.0,COUSINS PROPERTIES INC,ATLANTA,30326,232,61,1
HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,1600.0,"STERLING INFRASTRUCTURE, INC.",THE WOODLANDS,77380,108,1351,4
FOOD AND KINDRED PRODUCTS,2000.0,FLOWERS FOODS INC,THOMASVILLE,31757,90,1352,4
PHARMACEUTICAL PREPARATIONS,2834.0,Ultragenyx Pharmaceutical Inc.,NOVATO,94949,204,994,0
SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS,7997.0,"Life Time Group Holdings, Inc.",CHANHASSEN,55317,307,247,1
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,WHITE MOUNTAINS INSURANCE GROUP LTD,HANOVER,3755,87,580,2
REAL ESTATE INVESTMENT TRUSTS,6798.0,"INDEPENDENCE REALTY TRUST, INC.",PHILADELPHIA,19103,232,1066,0
RETAIL-MISCELLANEOUS RETAIL,5900.0,"FirstCash Holdings, Inc.",FORT WORTH,76102,255,486,1
CRUDE PETROLEUM & NATURAL GAS,1311.0,California Resources Corp,LONG BEACH,90831,56,773,4
"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",6200.0,"BGC Group, Inc.",NEW YORK,10022,271,956,3
RETAIL-EATING PLACES,5812.0,"BRINKER INTERNATIONAL, INC",DALLAS,75019,246,341,1
RETAIL-AUTO DEALERS & GASOLINE STATIONS,5500.0,ASBURY AUTOMOTIVE GROUP INC,DULUTH,30097,238,394,1
STATE COMMERCIAL BANKS,6022.0,"ServisFirst Bancshares, Inc.",BIRMINGHAM,35209,334,135,1
REAL ESTATE INVESTMENT TRUSTS,6798.0,"Sabra Health Care REIT, Inc.",IRVINE,92612,232,653,1
SERVICES-PREPACKAGED SOFTWARE,7372.0,BOX INC,REDWOOD CITY,94063,319,1118,3
FABRICATED STRUCTURAL METAL PRODUCTS,3440.0,"Arcosa, Inc.",DALLAS,75201,82,341,2
TRANSPORTATION SERVICES,4700.0,"RXO, Inc.",CHARLOTTE,28277,351,254,1
